,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
0,10,4,6351,15,1,0,1,4,4,0,0,0,38,39,0
1,10,4,10330,9,4,4,10,1,4,0,0,0,34,39,0
2,8,4,12767,7,3,2,12,0,4,1,0,0,34,39,0
3,29,4,3716,4,9,2,14,0,0,1,0,39,34,39,0
4,28,4,5843,1,13,0,14,1,4,1,0,79,71,39,1
5,12,4,9254,9,4,2,10,3,4,1,0,0,70,39,0
6,25,2,10994,11,15,5,8,1,2,0,0,0,56,0,0
7,17,4,1762,15,1,0,1,1,4,0,0,0,45,39,0
8,43,2,77,8,2,0,10,4,4,1,0,0,34,39,1
9,2,4,218,15,1,4,1,3,4,0,0,0,34,39,0
10,4,4,9344,7,3,4,1,3,4,0,0,0,74,39,0
11,14,4,5746,12,5,4,10,1,4,0,0,0,40,39,0
12,36,4,1951,12,5,2,4,0,4,1,0,0,39,39,1
13,18,0,11015,11,15,2,0,2,4,0,0,0,17,39,0
14,34,2,4190,12,5,0,4,1,4,0,0,0,34,39,0
15,14,1,9552,9,4,0,11,1,4,1,0,0,45,39,1
16,20,4,5082,15,1,2,3,0,4,1,0,0,47,39,0
17,12,4,20904,10,7,2,10,0,1,1,0,0,56,19,0
18,51,0,1494,11,15,2,0,0,4,1,13,0,6,39,0
19,7,4,6266,11,15,2,3,0,4,1,0,0,34,39,0
20,29,4,13357,1,13,5,7,1,4,0,0,0,34,39,0
21,36,4,2227,15,1,2,3,0,2,1,110,0,34,39,1
22,37,4,18182,15,1,2,10,0,4,1,0,0,34,39,1
23,4,4,15630,15,1,4,3,1,4,1,0,0,50,39,0
24,39,4,12206,10,7,2,10,0,4,1,0,0,45,39,0
25,18,6,21438,14,6,2,10,0,4,1,0,0,61,39,1
26,29,4,10559,15,1,2,1,0,4,1,0,0,34,39,0
27,19,6,17032,15,1,0,12,4,4,0,0,0,28,39,0
28,3,4,5658,15,1,4,5,3,4,0,0,0,34,39,0
29,12,4,8152,11,15,4,6,1,4,1,0,6,34,39,0
30,20,4,4938,15,1,0,13,1,0,0,0,0,34,39,0
31,0,4,6991,1,13,4,6,3,4,1,0,0,7,39,0
32,15,4,5500,11,15,0,7,1,4,0,0,0,31,39,0
33,6,4,15548,11,15,4,4,1,4,1,0,0,34,39,0
34,28,5,7976,12,5,0,12,4,4,0,47,0,36,39,1
35,9,4,10050,11,15,4,7,1,4,1,0,0,34,39,0
36,14,4,6492,11,15,0,8,4,4,0,0,0,93,39,1
37,62,4,2084,15,1,2,10,2,4,1,0,0,12,39,0
38,32,4,7208,11,15,0,8,1,4,0,0,0,34,39,0
39,25,4,16990,9,4,2,12,0,4,1,0,0,34,39,1
40,50,4,21260,12,5,2,12,0,4,1,0,0,23,39,1
41,18,4,7732,10,7,2,4,0,4,1,0,0,39,39,1
42,27,4,15748,9,4,0,4,4,4,1,0,75,45,39,1
43,14,4,8463,11,15,2,6,0,4,1,0,0,34,39,0
44,20,2,232,9,4,0,10,4,4,0,0,0,50,39,0
45,5,7,18778,7,3,4,1,1,4,1,0,0,34,39,0
46,17,4,527,15,1,2,7,0,4,1,0,0,34,39,0
47,28,4,16715,11,15,0,14,1,4,1,0,0,34,39,0
48,34,4,20757,11,15,2,7,0,2,1,0,0,34,39,0
49,11,4,6451,1,13,2,1,5,4,0,0,0,34,26,0
50,21,4,21376,8,2,0,1,4,2,0,0,0,34,39,0
51,23,4,21600,0,12,0,7,4,4,0,0,0,34,39,0
52,33,4,4621,15,1,2,13,0,4,1,0,0,56,39,1
53,16,4,21175,5,10,0,6,3,4,1,0,0,34,39,0
54,32,4,8416,9,4,2,4,0,4,1,0,0,34,39,0
55,27,4,5699,7,3,0,7,3,4,0,0,0,39,39,0
56,6,4,11482,11,15,2,8,0,4,1,0,0,45,39,0
57,3,4,3050,11,15,4,6,3,4,1,0,0,34,39,0
58,15,4,2328,11,15,3,8,4,4,0,0,0,12,39,0
59,47,4,10679,3,8,0,9,1,4,0,0,0,3,39,0
60,11,4,8022,9,4,2,10,0,4,1,0,0,34,0,0
61,30,2,3020,1,13,2,14,0,4,1,67,0,34,8,0
62,20,4,6562,15,1,0,1,1,4,0,0,0,34,39,0
63,30,5,7625,11,15,2,7,0,4,1,0,0,42,39,0
64,42,0,20890,0,12,0,0,1,4,0,0,0,34,9,0
65,5,4,16682,15,1,4,10,4,4,0,0,0,12,39,0
66,30,4,7250,0,12,2,7,0,4,1,0,0,34,39,1
67,9,4,1068,8,2,4,13,3,4,1,0,0,34,39,0
68,27,4,10998,8,2,2,10,0,4,1,0,0,45,39,1
69,16,4,2938,11,15,4,7,3,4,0,0,0,34,0,0
70,29,4,2710,15,1,0,1,4,4,0,0,0,34,39,0
71,33,4,8468,9,4,2,3,0,4,1,0,0,34,0,0
72,27,4,1670,14,6,2,10,0,4,1,0,0,45,39,1
73,4,4,7894,11,15,4,7,3,4,1,0,0,34,39,0
74,16,4,5812,15,1,0,6,3,4,1,0,0,34,39,0
75,11,4,14461,15,1,4,14,1,4,1,0,0,45,39,0
76,12,4,17177,9,4,2,4,0,4,1,0,0,45,10,1
77,24,2,9037,11,15,2,14,0,2,1,0,0,34,39,0
78,2,4,15923,0,12,4,8,1,4,0,0,0,34,39,0
79,45,4,19590,9,4,2,12,0,4,1,0,0,12,39,1
80,33,4,21460,11,15,2,7,0,4,1,0,0,39,39,1
81,4,7,2424,15,1,4,11,1,4,1,0,0,34,39,0
82,43,4,17616,11,15,2,12,0,4,1,0,0,34,39,1
83,13,4,12012,15,1,2,5,0,4,1,0,0,34,39,0
84,30,4,17799,11,15,2,12,0,4,1,0,0,45,39,1
85,35,7,10315,9,4,6,4,4,4,0,0,0,50,39,0
86,19,4,7148,14,6,4,4,1,4,1,53,0,45,39,1
87,50,0,4608,4,9,6,0,4,2,0,0,0,34,39,0
88,8,4,17921,9,4,2,4,0,4,1,0,0,34,39,1
89,5,4,9481,0,12,5,8,4,4,0,0,0,28,39,0
90,32,4,3390,6,11,5,6,3,4,1,0,0,31,39,0
91,21,4,1702,12,5,2,3,0,2,1,0,0,34,39,1
