Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
7394816,0,0,2,1,2,6,2,2,1,2,1,2,5,8,2,-9,4
7394745,0,0,5,1,1,4,1,2,1,1,1,2,1,8,6,4,3
7395066,0,0,3,1,2,4,1,2,1,1,1,1,1,6,11,3,4
7395329,0,0,3,1,2,2,1,2,1,2,1,2,1,7,7,3,2
7394712,0,0,3,1,1,5,4,2,1,1,1,2,1,1,4,3,2
7394750,0,0,2,1,1,6,2,2,1,2,1,1,1,9,2,3,3
7394871,0,0,5,1,2,4,3,2,1,2,1,1,1,6,11,2,3
7394832,0,0,3,1,2,1,1,2,1,2,1,1,-9,-9,-9,-9,-9
7394719,0,0,2,1,1,7,2,2,1,1,1,2,5,8,2,-9,2
7394840,0,0,1,1,2,6,4,2,1,3,1,2,5,9,5,-9,4
7394510,0,0,1,1,1,3,1,2,1,3,1,8,1,8,2,3,4
7394711,0,0,2,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7395070,0,0,1,1,2,2,1,2,1,1,1,2,1,7,2,3,2
7394869,0,0,1,1,2,2,1,1,1,2,1,1,4,-9,-9,-9,2
7394971,0,0,5,1,2,2,1,2,1,2,1,2,1,7,4,2,4
7395019,0,0,1,1,2,2,1,1,1,2,1,1,4,7,6,-9,2
7395069,0,0,3,1,1,2,1,2,1,1,1,1,2,8,3,4,4
7394933,0,0,3,1,1,2,1,1,1,1,1,1,6,-9,-9,-9,2
7395059,0,0,1,1,1,4,1,2,1,3,1,1,1,8,2,3,4
7394875,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394764,0,0,2,1,1,7,2,2,1,3,1,2,5,9,2,-9,4
7394645,0,0,5,1,2,5,4,2,1,3,1,2,2,7,7,1,4
7394857,0,0,2,1,1,4,2,2,1,1,1,1,1,8,2,3,4
7395021,0,0,2,1,1,8,2,2,1,3,1,2,5,5,2,-9,3
7395361,0,0,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,-9
7394927,0,0,3,1,1,3,1,2,1,2,1,2,1,7,4,3,4
7395359,0,0,2,1,1,5,2,2,1,2,1,2,2,1,3,3,1
7394920,0,0,2,1,2,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
7394688,0,0,2,1,2,2,1,1,1,1,1,9,4,7,4,1,2
7394516,0,0,2,1,1,4,2,2,1,1,1,2,1,8,10,3,4
7394965,0,0,5,1,2,4,4,2,1,1,1,2,1,2,8,2,1
7394872,0,0,1,1,2,5,4,2,1,1,1,2,2,9,8,2,4
